line,from_stop_id,to_stop_id,transfer_type,min_transfer_time
1,101,101,2,180
1,103,103,2,180
1,104,104,2,180
1,106,106,2,180
1,107,107,2,180
1,108,108,2,180
1,109,109,2,180
1,110,110,2,180
1,111,111,2,180
1,112,112,2,180
1,112,A09,2,180
1,113,113,2,180
1,114,114,2,180
1,115,115,2,180
1,116,116,2,180
1,117,117,2,180
1,118,118,2,180
1,119,119,2,180
1,120,120,2,180
1,121,121,2,180
1,122,122,2,180
1,123,123,2,0
1,124,124,2,180
1,125,125,2,180
1,125,A24,2,180
1,126,126,2,180
1,127,127,2,0
1,127,725,2,180
1,127,902,2,180
1,127,A27,2,300
1,127,R16,2,180
1,128,128,2,300
1,129,129,2,180
1,130,130,2,180
1,131,131,2,180
1,132,132,2,0
1,132,D19,2,300
1,132,L02,2,180
1,133,133,2,180
1,134,134,2,180
1,135,135,2,180
1,136,136,2,180
1,137,137,2,180
1,138,138,2,180
1,139,139,2,180
1,140,140,2,180
1,140,R27,2,120
2,201,201,2,180
2,204,204,2,180
2,205,205,2,180
2,206,206,2,180
2,207,207,2,180
2,208,208,2,180
2,209,209,2,180
2,210,210,2,180
2,211,211,2,180
2,212,212,2,180
2,213,213,2,180
2,214,214,2,180
2,215,215,2,180
2,216,216,2,180
2,217,217,2,180
2,218,218,2,180
2,219,219,2,180
2,220,220,2,180
2,221,221,2,180
2,222,222,2,180
2,222,415,2,180
2,227,227,2,0
2,228,228,2,180
2,228,A36,2,180
2,228,E01,2,180
2,229,229,2,180
2,229,418,2,300
2,229,A38,2,180
2,229,M22,2,300
2,230,230,2,180
2,231,231,2,180
2,232,232,2,180
2,232,423,2,300
2,232,R28,2,180
2,233,233,2,180
2,234,234,2,0
2,235,235,2,300
2,235,D24,2,180
2,235,R31,2,180
2,236,236,2,180
2,237,237,2,180
2,238,238,2,180
2,239,239,2,0
2,239,S04,2,180
2,241,241,2,180
2,242,242,2,180
2,243,243,2,180
2,244,244,2,180
2,245,245,2,180
2,246,246,2,180
2,247,247,2,180
2,248,248,2,180
2,249,249,2,180
2,250,250,2,0
2,251,251,2,180
2,252,252,2,180
2,253,253,2,180
2,254,254,2,180
2,254,L26,2,300
2,255,255,2,180
2,256,256,2,180
2,257,257,2,180
3,301,301,2,180
3,302,302,2,180
4,401,401,2,180
4,402,402,2,180
4,405,405,2,180
4,406,406,2,180
4,407,407,2,180
4,408,408,2,180
4,409,409,2,0
4,410,410,2,180
4,411,411,2,180
4,412,412,2,180
4,413,413,2,180
4,414,414,2,180
4,414,D11,2,180
4,415,222,2,180
4,415,415,2,0
4,416,416,2,180
4,418,229,2,300
4,418,418,2,180
4,418,A38,2,180
4,418,M22,2,300
4,419,419,2,180
4,420,420,2,180
4,423,232,2,300
4,423,423,2,180
4,423,R28,2,180
5,501,501,2,180
5,502,502,2,180
5,503,503,2,180
5,504,504,2,180
5,505,505,2,180
6,601,601,2,180
6,602,602,2,180
6,603,603,2,180
6,604,604,2,180
6,606,606,2,180
6,607,607,2,180
6,608,608,2,0
6,609,609,2,180
6,610,610,2,180
6,611,611,2,180
6,612,612,2,180
6,613,613,2,0
6,614,614,2,180
6,615,615,2,180
6,616,616,2,180
6,617,617,2,180
6,618,618,2,180
6,619,619,2,0
6,621,621,2,180
6,622,622,2,180
6,623,623,2,180
6,624,624,2,180
6,625,625,2,180
6,626,626,2,180
6,627,627,2,180
6,628,628,2,180
6,629,629,2,180
6,629,B08,2,300
6,629,R11,2,180
6,630,630,2,180
6,630,F11,2,180
6,631,631,2,0
6,631,723,2,180
6,631,901,2,180
6,632,632,2,180
6,633,633,2,180
6,634,634,2,180
6,635,635,2,0
6,635,L03,2,180
6,635,R20,2,180
6,636,636,2,180
6,637,637,2,180
6,637,D21,2,180
6,638,638,2,180
6,639,639,2,180
6,639,M20,2,180
6,639,Q01,2,180
6,639,R23,2,180
6,640,640,2,0
6,640,M21,2,180
7,701,701,2,180
7,702,702,2,180
7,705,705,2,180
7,706,706,2,180
7,707,707,2,0
7,708,708,2,180
7,709,709,2,180
7,710,710,2,180
7,710,G14,2,180
7,711,711,2,180
7,712,712,2,0
7,713,713,2,180
7,714,714,2,180
7,715,715,2,180
7,716,716,2,180
7,718,718,2,0
7,718,R09,2,0
7,719,719,2,180
7,719,F09,2,300
7,719,G22,2,180
7,720,720,2,180
7,721,721,2,180
7,723,631,2,180
7,723,723,2,180
7,723,901,2,300
7,724,724,2,180
7,724,D16,2,180
7,725,127,2,180
7,725,725,2,180
7,725,902,2,300
7,725,A27,2,180
7,725,R16,2,180
9,901,631,2,180
9,901,723,2,300
9,901,901,2,180
9,902,127,2,180
9,902,725,2,300
9,902,902,2,180
9,902,A27,2,300
9,902,R16,2,180
A,A02,A02,2,180
A,A03,A03,2,180
A,A05,A05,2,180
A,A06,A06,2,180
A,A07,A07,2,180
A,A09,112,2,180
A,A09,A09,2,0
A,A10,A10,2,180
A,A11,A11,2,180
A,A12,A12,2,0
A,A12,D13,2,180
A,A14,A14,2,180
A,A15,A15,2,0
A,A16,A16,2,180
A,A17,A17,2,180
A,A18,A18,2,180
A,A19,A19,2,180
A,A20,A20,2,180
A,A21,A21,2,180
A,A22,A22,2,180
A,A24,125,2,180
A,A24,A24,2,0
A,A25,A25,2,180
A,A27,127,2,300
A,A27,725,2,180
A,A27,902,2,300
A,A27,A27,2,0
A,A27,R16,2,300
A,A28,A28,2,300
A,A30,A30,2,180
A,A31,A31,2,0
A,A31,L01,2,90
A,A32,A32,2,0
A,A32,D20,2,180
A,A33,A33,2,180
A,A34,A34,2,0
A,A36,228,2,180
A,A36,A36,2,180
A,A36,E01,2,300
A,A38,229,2,180
A,A38,418,2,180
A,A38,A38,2,180
A,A38,M22,2,180
A,A40,A40,2,180
A,A41,A41,2,180
A,A41,R29,2,90
A,A42,A42,2,180
A,A43,A43,2,180
A,A44,A44,2,180
A,A45,A45,2,180
A,A45,S01,2,180
A,A46,A46,2,180
A,A47,A47,2,180
A,A48,A48,2,0
A,A49,A49,2,180
A,A50,A50,2,180
A,A51,A51,2,0
A,A51,J27,2,180
A,A51,L22,2,180
A,A52,A52,2,180
A,A53,A53,2,180
A,A54,A54,2,180
A,A55,A55,2,0
A,A57,A57,2,180
A,A59,A59,2,180
A,A60,A60,2,180
A,A61,A61,2,180
A,A63,A63,2,180
A,A64,A64,2,180
A,A65,A65,2,180
B,B04,B04,2,180
B,B06,B06,2,180
B,B08,629,2,300
B,B08,B08,2,180
B,B08,R11,2,300
B,B10,B10,2,180
B,B12,B12,2,180
B,B13,B13,2,180
B,B14,B14,2,180
B,B15,B15,2,180
B,B16,B16,2,180
B,B16,N04,2,180
B,B17,B17,2,180
B,B18,B18,2,180
B,B19,B19,2,180
B,B20,B20,2,180
B,B21,B21,2,180
B,B22,B22,2,180
B,B23,B23,2,180
D,D01,D01,2,180
D,D03,D03,2,0
D,D04,D04,2,0
D,D05,D05,2,0
D,D06,D06,2,180
D,D07,D07,2,0
D,D08,D08,2,180
D,D09,D09,2,180
D,D10,D10,2,180
D,D11,414,2,180
D,D11,D11,2,180
D,D12,D12,2,180
D,D13,A12,2,180
D,D13,D13,2,0
D,D14,D14,2,180
D,D15,D15,2,300
D,D16,724,2,180
D,D16,D16,2,0
D,D17,D17,2,0
D,D17,R17,2,180
D,D18,D18,2,180
D,D19,132,2,300
D,D19,D19,2,180
D,D19,L02,2,180
D,D20,A32,2,180
D,D20,D20,2,0
D,D21,637,2,180
D,D21,D21,2,0
D,D22,D22,2,180
D,D24,235,2,180
D,D24,D24,2,180
D,D24,R31,2,300
D,D25,D25,2,180
D,D26,D26,2,180
D,D27,D27,2,180
D,D28,D28,2,0
D,D29,D29,2,180
D,D30,D30,2,180
D,D31,D31,2,0
D,D32,D32,2,180
D,D33,D33,2,180
D,D34,D34,2,180
D,D35,D35,2,0
D,D37,D37,2,180
D,D38,D38,2,180
D,D39,D39,2,0
D,D40,D40,2,300
D,D41,D41,2,180
D,D42,D42,2,180
D,D43,D43,2,180
E,E01,228,2,180
E,E01,A36,2,300
E,E01,E01,2,180
F,F01,F01,2,180
F,F02,F02,2,180
F,F03,F03,2,180
F,F04,F04,2,180
F,F06,F06,2,0
F,F07,F07,2,180
F,F09,719,2,300
F,F09,F09,2,180
F,F09,G22,2,180
F,F11,630,2,180
F,F11,F11,2,180
F,F12,F12,2,180
F,F14,F14,2,300
F,F15,F15,2,180
F,F15,M18,2,180
F,F16,F16,2,180
F,F18,F18,2,180
F,F21,F21,2,180
F,F22,F22,2,180
F,F23,F23,2,180
F,F23,R33,2,180
F,F24,F24,2,0
F,F25,F25,2,180
F,F26,F26,2,180
F,F27,F27,2,0
F,F29,F29,2,180
F,F30,F30,2,180
F,F31,F31,2,180
F,F32,F32,2,180
F,F33,F33,2,180
F,F34,F34,2,180
F,F35,F35,2,180
F,F36,F36,2,180
F,F38,F38,2,180
F,F39,F39,2,180
G,G05,G05,2,180
G,G06,G06,2,180
G,G07,G07,2,180
G,G08,G08,2,0
G,G09,G09,2,180
G,G10,G10,2,180
G,G11,G11,2,180
G,G12,G12,2,180
G,G13,G13,2,180
G,G14,710,2,180
G,G14,G14,2,180
G,G15,G15,2,180
G,G16,G16,2,180
G,G18,G18,2,180
G,G19,G19,2,180
G,G20,G20,2,180
G,G21,G21,2,180
G,G22,719,2,180
G,G22,F09,2,180
G,G22,G22,2,180
G,G24,G24,2,180
G,G26,G26,2,180
G,G28,G28,2,180
G,G29,G29,2,180
G,G29,L10,2,180
G,G30,G30,2,180
G,G31,G31,2,180
G,G32,G32,2,180
G,G33,G33,2,180
G,G34,G34,2,180
G,G35,G35,2,180
G,G36,G36,2,180
H,H02,H02,2,180
H,H03,H03,2,180
H,H04,H04,2,180
H,H06,H06,2,180
H,H07,H07,2,180
H,H08,H08,2,180
H,H09,H09,2,180
H,H10,H10,2,180
H,H11,H11,2,180
H,H12,H12,2,180
H,H13,H13,2,180
H,H14,H14,2,180
H,H15,H15,2,180
J,J12,J12,2,180
J,J13,J13,2,180
J,J14,J14,2,180
J,J15,J15,2,180
J,J16,J16,2,180
J,J17,J17,2,180
J,J19,J19,2,180
J,J20,J20,2,180
J,J21,J21,2,180
J,J22,J22,2,180
J,J23,J23,2,180
J,J24,J24,2,180
J,J27,A51,2,180
J,J27,J27,2,0
J,J27,L22,2,180
J,J28,J28,2,180
J,J29,J29,2,180
J,J30,J30,2,180
J,J31,J31,2,180
L,L01,A31,2,90
L,L01,L01,2,180
L,L02,132,2,180
L,L02,D19,2,180
L,L02,L02,2,180
L,L03,635,2,180
L,L03,L03,2,180
L,L03,R20,2,180
L,L05,L05,2,180
L,L06,L06,2,180
L,L08,L08,2,180
L,L10,G29,2,180
L,L10,L10,2,180
L,L11,L11,2,180
L,L12,L12,2,180
L,L13,L13,2,180
L,L14,L14,2,180
L,L15,L15,2,180
L,L16,L16,2,180
L,L17,L17,2,180
L,L17,M08,2,180
L,L19,L19,2,180
L,L20,L20,2,180
L,L21,L21,2,180
L,L22,A51,2,180
L,L22,J27,2,180
L,L22,L22,2,180
L,L24,L24,2,180
L,L25,L25,2,180
L,L26,254,2,300
L,L26,L26,2,180
L,L27,L27,2,180
L,L28,L28,2,180
L,L29,L29,2,180
M,M01,M01,2,180
M,M04,M04,2,180
M,M05,M05,2,180
M,M06,M06,2,180
M,M08,L17,2,180
M,M08,M08,2,180
M,M09,M09,2,180
M,M10,M10,2,180
M,M11,M11,2,0
M,M12,M12,2,180
M,M13,M13,2,180
M,M14,M14,2,180
M,M16,M16,2,0
M,M18,F15,2,180
M,M18,M18,2,180
M,M19,M19,2,180
M,M20,639,2,180
M,M20,M20,2,180
M,M20,Q01,2,180
M,M20,R23,2,300
M,M21,640,2,180
M,M21,M21,2,180
M,M22,229,2,300
M,M22,418,2,300
M,M22,A38,2,180
M,M22,M22,2,180
M,M23,M23,2,180
N,N02,N02,2,180
N,N03,N03,2,180
N,N04,B16,2,180
N,N04,N04,2,180
N,N05,N05,2,180
N,N06,N06,2,180
N,N07,N07,2,180
N,N08,N08,2,180
N,N09,N09,2,180
N,N10,N10,2,180
Q,Q01,639,2,180
Q,Q01,M20,2,180
Q,Q01,Q01,2,180
Q,Q01,R23,2,180
R,R01,R01,2,180
R,R03,R03,2,0
R,R04,R04,2,180
R,R05,R05,2,180
R,R06,R06,2,180
R,R08,R08,2,180
R,R09,718,2,0
R,R09,R09,2,180
R,R11,629,2,180
R,R11,B08,2,300
R,R11,R11,2,0
R,R13,R13,2,180
R,R14,R14,2,180
R,R15,R15,2,180
R,R16,127,2,180
R,R16,725,2,180
R,R16,902,2,180
R,R16,A27,2,300
R,R16,R16,2,0
R,R17,D17,2,180
R,R17,R17,2,0
R,R18,R18,2,180
R,R19,R19,2,180
R,R20,635,2,180
R,R20,L03,2,180
R,R20,R20,2,0
R,R21,R21,2,180
R,R22,R22,2,180
R,R23,639,2,180
R,R23,M20,2,300
R,R23,Q01,2,180
R,R23,R23,2,180
R,R24,R24,2,180
R,R26,R26,2,180
R,R27,R27,2,180
R,R27,140,2,120
R,R28,232,2,180
R,R28,423,2,180
R,R28,R28,2,180
R,R29,R29,2,180
R,R29,A41,2,90
R,R30,R30,2,180
R,R31,235,2,180
R,R31,D24,2,300
R,R31,R31,2,0
R,R32,R32,2,180
R,R33,F23,2,180
R,R33,R33,2,180
R,R34,R34,2,180
R,R35,R35,2,180
R,R36,R36,2,0
R,R39,R39,2,180
R,R40,R40,2,180
R,R41,R41,2,0
R,R42,R42,2,180
R,R43,R43,2,180
R,R44,R44,2,180
R,R45,R45,2,180
S,S01,A45,2,180
S,S01,S01,2,180
S,S03,S03,2,180
S,S04,239,2,180
S,S04,S04,2,180
